fips_code,Geographic Area Name,,population,median_age_years
42055,Franklin County, Pennsylvania,155027,41.8
42063,Indiana County, Pennsylvania,84073,40
42069,Lackawanna County, Pennsylvania,209674,42
42071,Lancaster County, Pennsylvania,545724,38.5
42073,Lawrence County, Pennsylvania,85512,45.2
42075,Lebanon County, Pennsylvania,141793,41.4
42077,Lehigh County, Pennsylvania,369318,39
42079,Luzerne County, Pennsylvania,317417,42.5
42081,Lycoming County, Pennsylvania,113299,42.1
42085,Mercer County, Pennsylvania,109424,45.5
42089,Monroe County, Pennsylvania,170271,43.1
42091,Montgomery County, Pennsylvania,830915,41.1
42095,Northampton County, Pennsylvania,305285,41.9
42097,Northumberland County, Pennsylvania,90843,44.1
42101,Philadelphia County, Pennsylvania,1584064,34.7
42107,Schuylkill County, Pennsylvania,141359,44.7
42111,Somerset County, Pennsylvania,73447,46.4
42125,Washington County, Pennsylvania,206865,44.3
42129,Westmoreland County, Pennsylvania,348899,47
42133,York County, Pennsylvania,449058,41
44003,Kent County, Rhode Island,164292,44.6
44005,Newport County, Rhode Island,82082,45.8
44007,Providence County, Rhode Island,638931,37.4
44009,Washington County, Rhode Island,125577,46.5
45003,Aiken County, South Carolina,170872,40.1
45007,Anderson County, South Carolina,202558,40.5
45013,Beaufort County, South Carolina,192122,47.2
45015,Berkeley County, South Carolina,227907,36.3
45019,Charleston County, South Carolina,411406,38.4
45031,Darlington County, South Carolina,66618,41.8
45035,Dorchester County, South Carolina,162809,37.5
45041,Florence County, South Carolina,138293,40
45045,Greenville County, South Carolina,523542,38.2
45047,Greenwood County, South Carolina,70811,39.9
45051,Horry County, South Carolina,354081,47.6
45055,Kershaw County, South Carolina,66551,40.3
45057,Lancaster County, South Carolina,98012,42
