Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
06/30/2021,50025,26,Windham County,VT,53.3,22494,22494,60.1,21544,62.0,7670,76.0,73.8,26139.0,61.9,26136.0,69.8,24732.0,71.1,8556.0,84.8,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,42057,26,Fulton County,PA,25.4,3686,3686,29.1,3636,31.2,1766,55.2,93.6,3963.0,27.3,3962.0,31.2,3894.0,33.4,1834.0,57.3,Low,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,30011,26,Carter County,MT,23.5,294,294,28.0,293,29.9,172,52.6,95.5,311.0,24.8,311.0,29.6,310.0,31.6,179.0,54.7,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Mod-High VC/Low SVI
06/30/2021,05017,26,Chicot County,AR,36.5,3693,3688,42.5,3636,46.0,1583,74.1,89.0,4187.0,41.4,4179.0,48.1,4087.0,51.7,1734.0,81.2,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
06/30/2021,29019,26,Boone County,MO,46.6,84033,84032,54.0,80551,56.0,19198,83.2,90.6,95032.0,52.7,95025.0,61.1,90548.0,63.0,20771.0,90.0,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,05093,26,Mississippi County,AR,24.5,9941,9937,29.5,9815,32.7,3607,59.0,89.0,11681.0,28.7,11671.0,34.6,11468.0,38.2,4071.0,66.6,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
06/30/2021,46081,26,Lawrence County,SD,34.8,8988,8988,39.1,8736,41.0,3415,57.7,83.0,,0.0,,0.0,,0.0,,0.0,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
06/30/2021,18019,26,Clark County,IN,46.3,54778,54775,54.4,52990,57.7,16633,87.0,98.6,56111.0,47.4,56102.0,55.7,53979.0,58.8,16776.0,87.8,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,29189,26,St. Louis County,MO,46.5,462659,462649,54.3,438130,56.4,144454,78.4,90.6,530617.0,53.4,530572.0,62.3,498072.0,64.2,157306.0,85.4,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,72073,26,Jayuya Municipio,PR,53.0,7366,7366,59.5,7022,61.6,1973,83.6,95.5,8294.0,59.7,8292.0,66.9,7811.0,68.5,2129.0,90.2,High,High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
06/30/2021,51171,26,Shenandoah County,VA,27.0,11792,11777,31.3,11463,33.3,4830,49.8,51.2,13517.0,31.0,13493.0,35.8,12972.0,37.7,5459.0,56.3,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
06/30/2021,48439,26,Tarrant County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,Mod-High,,,,
06/30/2021,24047,26,Worcester County,MD,55.4,28966,28963,62.2,28251,65.1,12286,83.3,98.6,31928.0,61.1,31924.0,68.6,31060.0,71.6,13057.0,88.5,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
06/30/2021,54061,26,Monongalia County,WV,14.6,15404,15400,16.4,14672,16.6,3442,24.6,56.8,17623.0,16.7,17616.0,18.8,16606.0,18.8,3669.0,26.3,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
06/30/2021,26137,26,Otsego County,MI,45.8,11287,11287,52.9,10937,56.0,4337,80.9,94.1,11665.0,47.3,11664.0,54.6,11473.0,58.7,4402.0,82.1,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
